Pathway_ID	Pathway_Name	Accession_Count	Accessions
Reactome: R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	152	Dcitr00g0827011;Dcitr00g0653011;Dcitr13g0508011;Dcitr11g0372011;Dcitr00g0536011;Dcitr00g0758011;Dcitr11g0565011;Dcitr11g0108011;Dcitr00g1259011;Dcitr01g0957011;Dcitr13g0354011;Dcitr02g0848012;Dcitr03g0422011;Dcitr01g1495011;Dcitr10g1019011;Dcitr04g0180011;Dcitr01g1476011;Dcitr05g0458011;Dcitr11g0952011;Dcitr02g0943011;Dcitr01g0346011;Dcitr04g0749011;Dcitr07g1029011;Dcitr00g0323011;Dcitr03g1121012;Dcitr02g1588011;Dcitr06g0546011;Dcitr01g0786011;Dcitr02g1371011;Dcitr10g0140011;Dcitr04g1333011;Dcitr03g0545013;Dcitr10g1072011;Dcitr05g0676011;Dcitr00g1343011;Dcitr06g0738011;Dcitr03g0545012;Dcitr03g0946011;Dcitr00g0140011;Dcitr03g1919011;Dcitr00g0138014;Dcitr11g0476011;Dcitr03g1272011;Dcitr04g1369011;Dcitr03g0423012;Dcitr03g1128011;Dcitr01g0785011;Dcitr04g0758011;Dcitr13g0528011;Dcitr10g1018011;Dcitr05g0742011;Dcitr03g0806012;Dcitr09g0220011;Dcitr00g0705011;Dcitr04g0737011;Dcitr06g0230011;Dcitr09g0197011;Dcitr02g1585011;Dcitr12g0835011;Dcitr03g1274011;Dcitr11g0563011;Dcitr13g0508013;Dcitr09g0602011;Dcitr06g0549011;Dcitr10g1064011;Dcitr04g0958011;Dcitr12g0836011;Dcitr03g0806013;Dcitr03g0545011;Dcitr02g1483011;Dcitr11g0890011;Dcitr03g0764011;Dcitr01g0351011;Dcitr00g0658011;Dcitr10g1072013;Dcitr13g0172011;Dcitr04g1378011;Dcitr13g0268011;Dcitr10g1019012;Dcitr01g1075011;Dcitr06g0538011;Dcitr03g0438011;Dcitr06g1001011;Dcitr09g0801011;Dcitr03g1394011;Dcitr01g1504011;Dcitr03g1269011;Dcitr03g0806011;Dcitr06g1391011;Dcitr03g0717011;Dcitr05g0468011;Dcitr03g0707011;Dcitr06g0992011;Dcitr03g1917011;Dcitr12g0921011;Dcitr11g0933011;Dcitr06g0743011;Dcitr00g0877011;Dcitr11g0935011;Dcitr00g0565011;Dcitr12g0840011;Dcitr11g0475011;Dcitr06g0537011;Dcitr13g0262011;Dcitr02g0842011;Dcitr05g0741011;Dcitr00g0138012;Dcitr00g0138013;Dcitr06g0228011;Dcitr03g0950011;Dcitr10g0140012;Dcitr00g0301011;Dcitr00g0369011;Dcitr13g0360011;Dcitr05g0673011;Dcitr03g1121011;Dcitr03g0429011;Dcitr06g1387011;Dcitr00g0537011;Dcitr10g1019013;Dcitr03g1270011;Dcitr05g1156011;Dcitr00g0677011;Dcitr00g1306011;Dcitr01g1498011;Dcitr04g0736011;Dcitr06g0206011;Dcitr09g0643011;Dcitr02g0848011;Dcitr05g0270011;Dcitr00g0138011;Dcitr03g0765011;Dcitr01g0956011;Dcitr00g0370011;Dcitr00g1146011;Dcitr10g1072012;Dcitr08g0638011;Dcitr10g0299011;Dcitr00g0738011;Dcitr03g1392011;Dcitr06g0605011;Dcitr11g0948011;Dcitr12g0182011;Dcitr03g0449011;Dcitr05g0261011;Dcitr13g0508014;Dcitr03g0545014;Dcitr05g1154011;Dcitr03g0718011;Dcitr13g0508012;Dcitr09g0854011;Dcitr05g1326011
Reactome: R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	2	Dcitr02g0132011;Dcitr02g0133011
Reactome: R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	50	Dcitr05g0902011;Dcitr01g0865011;Dcitr01g1073011;Dcitr05g0788011;Dcitr01g2054011;Dcitr12g0603011;Dcitr01g0230011;Dcitr05g0789012;Dcitr13g0573011;Dcitr04g0619011;Dcitr02g1880011;Dcitr03g0476011;Dcitr01g0493011;Dcitr13g0291011;Dcitr03g1452011;Dcitr02g1881011;Dcitr09g0773011;Dcitr01g1476011;Dcitr02g0681011;Dcitr00g0849011;Dcitr00g0319011;Dcitr03g1951011;Dcitr05g0914011;Dcitr02g1988011;Dcitr00g0320011;Dcitr05g0904011;Dcitr04g0617011;Dcitr09g0456012;Dcitr01g0867011;Dcitr05g1580011;Dcitr13g0574011;Dcitr01g1336011;Dcitr09g0772011;Dcitr03g1466011;Dcitr09g0456011;Dcitr09g0454011;Dcitr05g1577011;Dcitr00g0588011;Dcitr01g0232011;Dcitr02g0968011;Dcitr01g1240011;Dcitr01g1233011;Dcitr01g1192011;Dcitr00g0590011;Dcitr05g0789011;Dcitr01g1787011;Dcitr00g0818011;Dcitr05g1439011;Dcitr12g0705011;Dcitr01g0493012
Reactome: R-HSA-1614558	Degradation of cysteine and homocysteine	6	Dcitr01g0889011;Dcitr11g0650011;Dcitr09g0749011;Dcitr09g0748011;Dcitr00g0692011;Dcitr00g0696011
Reactome: R-HSA-1483152	Hydrolysis of LPE	3	Dcitr04g1360013;Dcitr04g1360012;Dcitr04g1360011
Reactome: R-HSA-2206282	MPS IIIB - Sanfilippo syndrome B	4	Dcitr05g1318011;Dcitr05g1311011;Dcitr05g1312011;Dcitr05g1310011
Reactome: R-HSA-210500	Glutamate Neurotransmitter Release Cycle	2	Dcitr01g1942012;Dcitr01g1942011
Reactome: R-HSA-167590	Nef Mediated CD4 Down-regulation	7	Dcitr01g0124011;Dcitr03g0790011;Dcitr06g0284011;Dcitr00g0632011;Dcitr03g0803011;Dcitr03g0799011;Dcitr01g0123011
Reactome: R-HSA-191859	snRNP Assembly	43	Dcitr04g1353013;Dcitr03g1954011;Dcitr01g1042011;Dcitr03g1513011;Dcitr10g1029011;Dcitr05g0894011;Dcitr04g1353012;Dcitr01g1476011;Dcitr13g0656011;Dcitr11g0297011;Dcitr01g0409011;Dcitr10g0356011;Dcitr12g0290011;Dcitr13g0110011;Dcitr13g0110012;Dcitr01g0262011;Dcitr03g0636011;Dcitr04g1353011;Dcitr07g0642011;Dcitr12g0165011;Dcitr01g1040011;Dcitr03g0641011;Dcitr03g1512011;Dcitr01g1418011;Dcitr05g0682011;Dcitr02g1943011;Dcitr05g1451011;Dcitr13g0111011;Dcitr03g1961011;Dcitr00g1196011;Dcitr00g1438011;Dcitr01g1683011;Dcitr02g0592011;Dcitr03g0283011;Dcitr13g0111012;Dcitr01g0405011;Dcitr01g1501011;Dcitr03g1619011;Dcitr01g1680011;Dcitr03g0567011;Dcitr11g0302011;Dcitr01g1434011;Dcitr02g0594011
Reactome: R-HSA-5658034	HHAT G278V abrogates palmitoylation of Hh-Np	1	Dcitr07g0137011
Reactome: R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	31	Dcitr06g1447011;Dcitr11g0236011;Dcitr03g0665011;Dcitr09g0267011;Dcitr00g1068011;Dcitr00g0947011;Dcitr06g1564011;Dcitr07g0830011;Dcitr06g1564012;Dcitr02g0567011;Dcitr06g1552012;Dcitr00g0719011;Dcitr09g0274011;Dcitr07g0829011;Dcitr06g1552011;Dcitr00g0786011;Dcitr00g0833011;Dcitr06g1568011;Dcitr05g1060011;Dcitr02g0563011;Dcitr03g0660011;Dcitr02g1352011;Dcitr05g1052011;Dcitr04g1483011;Dcitr06g1567011;Dcitr06g1570011;Dcitr07g0881011;Dcitr02g1346011;Dcitr11g0237011;Dcitr03g1260011;Dcitr09g0272011
Reactome: R-HSA-1169408	ISG15 antiviral mechanism	35	Dcitr01g1042011;Dcitr03g1513011;Dcitr03g1954011;Dcitr04g0710011;Dcitr04g1353013;Dcitr13g0656011;Dcitr11g0297011;Dcitr04g1353012;Dcitr10g1029011;Dcitr01g0262011;Dcitr00g0972011;Dcitr01g0409011;Dcitr01g1040011;Dcitr04g1353011;Dcitr07g0642011;Dcitr04g1378011;Dcitr05g1451011;Dcitr03g1961011;Dcitr05g0682011;Dcitr02g1943011;Dcitr00g0877011;Dcitr03g1512011;Dcitr02g0592011;Dcitr03g0283011;Dcitr02g1483011;Dcitr01g0405011;Dcitr01g1501011;Dcitr08g0637011;Dcitr05g1318011;Dcitr00g1146011;Dcitr02g0594011;Dcitr06g0833011;Dcitr03g0567011;Dcitr11g0302011;Dcitr08g0638011
Reactome: R-HSA-6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	17	Dcitr01g1308012;Dcitr13g0255011;Dcitr05g0294011;Dcitr12g0388011;Dcitr13g0259011;Dcitr01g1302011;Dcitr01g1308011;Dcitr01g1302012;Dcitr01g1480011;Dcitr13g0257011;Dcitr02g0615011;Dcitr02g0614011;Dcitr02g0617011;Dcitr02g0944011;Dcitr13g0266011;Dcitr12g0380011;Dcitr05g0540011
Reactome: R-HSA-170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	25	Dcitr03g0567011;Dcitr11g0302011;Dcitr04g1353011;Dcitr07g0642011;Dcitr01g1040011;Dcitr02g0594011;Dcitr01g0409011;Dcitr01g0405011;Dcitr01g1501011;Dcitr01g0262011;Dcitr10g1029011;Dcitr04g1353012;Dcitr02g0592011;Dcitr03g0283011;Dcitr13g0656011;Dcitr11g0297011;Dcitr03g1512011;Dcitr04g1353013;Dcitr05g0682011;Dcitr03g1954011;Dcitr02g1943011;Dcitr05g1451011;Dcitr01g1042011;Dcitr03g1961011;Dcitr03g1513011
Reactome: R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	30	Dcitr06g0344011;Dcitr01g1571011;Dcitr06g0469011;Dcitr04g1401011;Dcitr07g0829011;Dcitr02g1483011;Dcitr06g0468011;Dcitr02g0719011;Dcitr10g0434011;Dcitr11g0236011;Dcitr12g0674011;Dcitr00g0877011;Dcitr04g0950011;Dcitr07g0830011;Dcitr04g1401012;Dcitr04g1185011;Dcitr00g1146011;Dcitr05g1195011;Dcitr10g0436011;Dcitr11g0237011;Dcitr00g0440011;Dcitr09g0388011;Dcitr04g1378011;Dcitr01g1571012;Dcitr04g0945011;Dcitr05g1193011;Dcitr04g1381011;Dcitr06g0340011;Dcitr00g0823011;Dcitr06g0463011
Reactome: R-HSA-72649	Translation initiation complex formation	82	Dcitr09g0806011;Dcitr00g0138013;Dcitr00g0138014;Dcitr05g0741011;Dcitr00g0140011;Dcitr00g0138012;Dcitr10g0928011;Dcitr03g1919011;Dcitr00g0537011;Dcitr10g1019013;Dcitr04g1369011;Dcitr03g1121011;Dcitr09g0805011;Dcitr03g1128011;Dcitr09g0969011;Dcitr05g1156011;Dcitr00g0677011;Dcitr05g0742011;Dcitr10g1018011;Dcitr04g0758011;Dcitr00g1306011;Dcitr03g0806012;Dcitr07g1119011;Dcitr03g0765011;Dcitr00g0138011;Dcitr08g0638011;Dcitr07g1192011;Dcitr03g1392011;Dcitr00g1146011;Dcitr02g1585011;Dcitr05g1097011;Dcitr10g0930011;Dcitr10g1064011;Dcitr06g0374011;Dcitr04g1244011;Dcitr06g0549011;Dcitr10g0389011;Dcitr05g1099011;Dcitr05g1326011;Dcitr05g1686011;Dcitr06g0372011;Dcitr05g1154011;Dcitr04g0958011;Dcitr03g0806013;Dcitr00g0658011;Dcitr03g0764011;Dcitr11g0890011;Dcitr00g1259011;Dcitr10g1019012;Dcitr04g1378011;Dcitr11g0108011;Dcitr05g0739011;Dcitr13g0172011;Dcitr10g0930012;Dcitr05g1684011;Dcitr10g1019011;Dcitr09g0801011;Dcitr06g1001011;Dcitr06g0538011;Dcitr10g0927011;Dcitr05g1100011;Dcitr05g0458011;Dcitr03g1394011;Dcitr04g0180011;Dcitr03g1121012;Dcitr00g0323011;Dcitr10g0923011;Dcitr04g0749011;Dcitr03g0806011;Dcitr04g1333011;Dcitr06g0992011;Dcitr03g1917011;Dcitr05g0468011;Dcitr06g0546011;Dcitr02g1588011;Dcitr06g0738011;Dcitr11g0935011;Dcitr11g0933011;Dcitr06g0743011;Dcitr07g0541011;Dcitr06g0537011;Dcitr07g1117011
Reactome: R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	9	Dcitr00g1146011;Dcitr10g0436011;Dcitr02g1483011;Dcitr04g1378011;Dcitr10g0434011;Dcitr03g1298011;Dcitr03g1303011;Dcitr00g0877011;Dcitr00g0823011
Reactome: R-HSA-426486	Small interfering RNA (siRNA) biogenesis	12	Dcitr01g1263012;Dcitr10g0677011;Dcitr06g0151011;Dcitr01g1267011;Dcitr08g0407011;Dcitr08g0408011;Dcitr04g1357012;Dcitr01g1261011;Dcitr01g1263011;Dcitr04g1357011;Dcitr10g1056011;Dcitr10g0680011
Reactome: R-HSA-4615885	SUMOylation of DNA replication proteins	34	Dcitr01g0409011;Dcitr01g0262011;Dcitr05g1093011;Dcitr00g1329011;Dcitr07g0642011;Dcitr04g1353011;Dcitr01g1040011;Dcitr04g1353013;Dcitr03g1954011;Dcitr03g1513011;Dcitr01g1042011;Dcitr09g0142011;Dcitr10g1029011;Dcitr04g1353012;Dcitr06g0231011;Dcitr11g0297011;Dcitr13g0656011;Dcitr09g0112011;Dcitr06g0207011;Dcitr01g1501011;Dcitr01g0405011;Dcitr11g0302011;Dcitr03g0567011;Dcitr02g0594011;Dcitr00g1464011;Dcitr03g1512011;Dcitr02g1943011;Dcitr05g0682011;Dcitr03g1961011;Dcitr05g1451011;Dcitr06g0229011;Dcitr01g1602011;Dcitr03g0283011;Dcitr02g0592011
Reactome: R-HSA-8963888	Chylomicron assembly	14	Dcitr05g1032011;Dcitr08g0937011;Dcitr08g0932011;Dcitr01g0463011;Dcitr01g0459011;Dcitr13g0246011;Dcitr01g0566011;Dcitr05g1031011;Dcitr08g0934011;Dcitr13g0247011;Dcitr08g0935011;Dcitr00g1357011;Dcitr13g0248011;Dcitr01g0462011
Reactome: R-HSA-1483191	Synthesis of PC	16	Dcitr02g0685015;Dcitr02g0685014;Dcitr10g1089011;Dcitr09g0561011;Dcitr02g1912011;Dcitr02g0685012;Dcitr11g0222011;Dcitr00g0285011;Dcitr07g0150011;Dcitr01g0836011;Dcitr09g0551011;Dcitr01g0840011;Dcitr11g0218011;Dcitr02g0685013;Dcitr07g0150012;Dcitr02g0685011
Reactome: R-HSA-5627123	RHO GTPases activate PAKs	1	Dcitr05g0500011
Reactome: R-HSA-5632928	Defective Mismatch Repair Associated With MSH2	3	Dcitr08g1228011;Dcitr00g0815011;Dcitr02g1986011
Reactome: R-HSA-196780	Biotin transport and metabolism	19	Dcitr04g1498011;Dcitr00g1348012;Dcitr00g0303011;Dcitr03g0519011;Dcitr08g0425011;Dcitr00g0589011;Dcitr00g1348011;Dcitr09g0339011;Dcitr04g1499011;Dcitr08g0430011;Dcitr02g0451011;Dcitr04g1495011;Dcitr02g0448011;Dcitr08g0432011;Dcitr08g0433011;Dcitr00g0306011;Dcitr00g0691011;Dcitr00g0169011;Dcitr08g0161011
Reactome: R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	24	Dcitr00g1146011;Dcitr03g0320011;Dcitr01g2066011;Dcitr07g0881011;Dcitr05g1213011;Dcitr01g2059011;Dcitr05g0235011;Dcitr04g1378011;Dcitr08g1104011;Dcitr01g1977011;Dcitr08g1111011;Dcitr08g1105011;Dcitr12g1001011;Dcitr05g1224011;Dcitr02g1483011;Dcitr04g1105011;Dcitr01g2059012;Dcitr03g1637011;Dcitr03g0313011;Dcitr00g1068011;Dcitr00g0877011;Dcitr10g0180011;Dcitr00g0947011;Dcitr05g1212011
Reactome: R-HSA-6807062	Cholesterol biosynthesis via lathosterol	1	Dcitr04g0346011
Reactome: R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	4	Dcitr02g0111011;Dcitr08g0894011;Dcitr02g0114011;Dcitr10g0993011
Reactome: R-HSA-418457	cGMP effects	7	Dcitr06g1120011;Dcitr06g1119011;Dcitr01g0104011;Dcitr06g1121011;Dcitr01g0101011;Dcitr01g0100011;Dcitr06g0615011
Reactome: R-HSA-4549349	Defective ALG2 causes ALG2-CDG (CDG-1i)	2	Dcitr03g0470011;Dcitr03g0468011
Reactome: R-HSA-912526	Interleukin receptor SHC signaling	3	Dcitr13g0334011;Dcitr13g0318011;Dcitr13g0337012
Reactome: R-HSA-193048	Androgen biosynthesis	2	Dcitr11g0285011;Dcitr11g0285012
Reactome: R-HSA-175474	Assembly Of The HIV Virion	4	Dcitr00g1146011;Dcitr04g1378011;Dcitr02g1483011;Dcitr00g0877011
Reactome: R-HSA-428890	Role of ABL in ROBO-SLIT signaling	7	Dcitr01g1497012;Dcitr00g0442011;Dcitr05g1224011;Dcitr05g1213011;Dcitr01g1498011;Dcitr05g1212011;Dcitr01g1497011
Reactome: R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	17	Dcitr05g1214011;Dcitr04g1378011;Dcitr08g0963011;Dcitr00g1146011;Dcitr02g0619011;Dcitr05g0380011;Dcitr02g0624011;Dcitr10g0168011;Dcitr07g0172011;Dcitr02g1483011;Dcitr05g0380012;Dcitr08g1229011;Dcitr00g0877011;Dcitr11g0699011;Dcitr07g0909011;Dcitr05g0386011;Dcitr05g1221011
Reactome: R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	74	Dcitr04g1223011;Dcitr02g0589011;Dcitr09g0970011;Dcitr06g0539013;Dcitr05g0452011;Dcitr00g1365011;Dcitr09g0968011;Dcitr01g0474011;Dcitr04g1433011;Dcitr03g1691012;Dcitr03g0914011;Dcitr06g0497011;Dcitr06g0638011;Dcitr01g1647011;Dcitr09g0755011;Dcitr09g0188011;Dcitr00g1173011;Dcitr03g1691011;Dcitr04g1203011;Dcitr06g0669011;Dcitr02g1444011;Dcitr06g1296011;Dcitr05g0453011;Dcitr02g0738011;Dcitr06g0539011;Dcitr04g1412011;Dcitr02g1206011;Dcitr02g1455011;Dcitr06g1291011;Dcitr09g0184011;Dcitr03g0471011;Dcitr00g0535011;Dcitr06g0639011;Dcitr03g0908011;Dcitr06g0480011;Dcitr08g1041011;Dcitr00g1531011;Dcitr02g1801011;Dcitr02g0728011;Dcitr04g0369011;Dcitr01g1242011;Dcitr02g0591011;Dcitr03g0873011;Dcitr04g0395011;Dcitr01g0481011;Dcitr10g0292011;Dcitr09g0754011;Dcitr02g1200011;Dcitr00g0826011;Dcitr08g1038011;Dcitr03g0901011;Dcitr02g1456011;Dcitr03g1691014;Dcitr10g0294011;Dcitr03g0366011;Dcitr06g0478011;Dcitr06g0539012;Dcitr10g0292012;Dcitr06g0379011;Dcitr09g0760011;Dcitr00g1450011;Dcitr05g1471011;Dcitr09g0730011;Dcitr03g1689011;Dcitr02g1799011;Dcitr05g1464011;Dcitr03g0869011;Dcitr03g0900011;Dcitr06g0536011;Dcitr03g1691013;Dcitr03g0872011;Dcitr06g0382011;Dcitr03g0469011;Dcitr06g0670011
Reactome: R-HSA-111367	SLBP independent Processing of Histone Pre-mRNAs	6	Dcitr10g0356011;Dcitr02g0319011;Dcitr01g1476011;Dcitr12g0165011;Dcitr02g0331011;Dcitr03g1619011
Reactome: R-HSA-3000484	Scavenging by Class F Receptors	7	Dcitr13g0246011;Dcitr05g1031011;Dcitr01g0566011;Dcitr05g1032011;Dcitr00g1357011;Dcitr08g0932011;Dcitr08g0935011
Reactome: R-HSA-3322077	Glycogen synthesis	9	Dcitr02g1483011;Dcitr04g1378011;Dcitr08g0210011;Dcitr00g1146011;Dcitr10g0430011;Dcitr00g0877011;Dcitr10g0149011;Dcitr10g0147011;Dcitr08g0214011
Reactome: R-HSA-196836	Vitamin C (ascorbate) metabolism	7	Dcitr04g0761011;Dcitr05g0504013;Dcitr00g0467012;Dcitr00g0467011;Dcitr05g0504012;Dcitr05g0504011;Dcitr02g0143011
Reactome: R-HSA-4085377	SUMOylation of SUMOylation proteins	25	Dcitr03g1513011;Dcitr03g1961011;Dcitr01g1042011;Dcitr05g1451011;Dcitr02g1943011;Dcitr03g1954011;Dcitr05g0682011;Dcitr04g1353013;Dcitr03g1512011;Dcitr11g0297011;Dcitr13g0656011;Dcitr03g0283011;Dcitr02g0592011;Dcitr04g1353012;Dcitr10g1029011;Dcitr01g0262011;Dcitr01g1501011;Dcitr01g0405011;Dcitr01g0409011;Dcitr02g0594011;Dcitr01g1040011;Dcitr07g0642011;Dcitr04g1353011;Dcitr11g0302011;Dcitr03g0567011
Reactome: R-HSA-5619061	Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	2	Dcitr02g0957011;Dcitr02g0959011
Reactome: R-HSA-8869496	TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	4	Dcitr00g1018011;Dcitr02g1810011;Dcitr11g0790011;Dcitr02g1819011
Reactome: R-HSA-8878166	Transcriptional regulation by RUNX2	2	Dcitr08g0352011;Dcitr04g0427011
Reactome: R-HSA-5607763	CLEC7A (Dectin-1) induces NFAT activation	1	Dcitr08g1140011
Reactome: R-HSA-5632987	Defective Mismatch Repair Associated With PMS2	1	Dcitr01g0162011
Reactome: R-HSA-5083633	Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	10	Dcitr03g0270011;Dcitr02g0429012;Dcitr04g1260011;Dcitr02g0428011;Dcitr04g1261011;Dcitr03g0273011;Dcitr02g0429011;Dcitr02g0420012;Dcitr02g0420011;Dcitr03g0275011
Reactome: R-HSA-1538133	G0 and Early G1	5	Dcitr12g0881011;Dcitr05g1587011;Dcitr04g0543011;Dcitr13g0456011;Dcitr12g0862011
Reactome: R-HSA-8866427	VLDLR internalisation and degradation	5	Dcitr06g0284011;Dcitr03g0799011;Dcitr03g0803011;Dcitr03g0790011;Dcitr00g0600011
Reactome: R-HSA-168325	Viral Messenger RNA Synthesis	40	Dcitr11g0302011;Dcitr03g0567011;Dcitr02g0594011;Dcitr01g1336011;Dcitr01g1501011;Dcitr05g0904011;Dcitr01g0405011;Dcitr00g0818011;Dcitr01g1787011;Dcitr05g0789011;Dcitr03g0283011;Dcitr00g0590011;Dcitr02g0592011;Dcitr03g1512011;Dcitr03g1961011;Dcitr01g0232011;Dcitr05g1451011;Dcitr02g0968011;Dcitr02g1943011;Dcitr00g0588011;Dcitr05g0682011;Dcitr07g0642011;Dcitr04g1353011;Dcitr05g0789012;Dcitr01g1040011;Dcitr01g0230011;Dcitr05g0788011;Dcitr01g0409011;Dcitr01g0262011;Dcitr05g0902011;Dcitr02g1988011;Dcitr10g1029011;Dcitr11g0297011;Dcitr13g0656011;Dcitr00g0849011;Dcitr04g1353012;Dcitr04g1353013;Dcitr03g1513011;Dcitr01g1042011;Dcitr03g1954011
Reactome: R-HSA-9029558	NR1H2 &amp; NR1H3 regulate gene expression linked to lipogenesis	13	Dcitr07g1045011;Dcitr07g0337011;Dcitr02g0310011;Dcitr12g0281011;Dcitr00g0699011;Dcitr07g1043011;Dcitr02g0336011;Dcitr02g1501011;Dcitr07g0336011;Dcitr12g0282012;Dcitr12g0282011;Dcitr07g0338011;Dcitr02g1496011
Reactome: R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	54	Dcitr03g2003011;Dcitr00g0836011;Dcitr02g1141011;Dcitr11g0378011;Dcitr04g0943011;Dcitr10g0301011;Dcitr02g1110011;Dcitr01g1957011;Dcitr12g0774011;Dcitr07g0116011;Dcitr08g1202011;Dcitr08g0552012;Dcitr02g1798011;Dcitr04g1522011;Dcitr02g1794011;Dcitr03g2051011;Dcitr12g0775011;Dcitr03g1532011;Dcitr11g0502012;Dcitr11g0502011;Dcitr01g1824012;Dcitr10g0220011;Dcitr02g1572011;Dcitr06g1171011;Dcitr00g0959011;Dcitr05g1720011;Dcitr01g1959011;Dcitr06g0186011;Dcitr04g1513011;Dcitr05g0260011;Dcitr00g0270011;Dcitr13g0144011;Dcitr11g0366011;Dcitr08g1178011;Dcitr05g0583011;Dcitr12g0391011;Dcitr10g0231011;Dcitr12g0393011;Dcitr06g1176011;Dcitr03g1541011;Dcitr07g0119011;Dcitr03g2002011;Dcitr08g1151012;Dcitr02g0619011;Dcitr08g1147011;Dcitr01g1824011;Dcitr03g2037011;Dcitr06g1473011;Dcitr01g1955011;Dcitr03g0852011;Dcitr05g0260012;Dcitr11g0681011;Dcitr04g1515011;Dcitr08g1151011
Reactome: R-HSA-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	22	Dcitr03g2081011;Dcitr03g1689011;Dcitr03g1691013;Dcitr02g1011011;Dcitr02g1005011;Dcitr04g1378011;Dcitr03g2083011;Dcitr03g1691014;Dcitr00g1146011;Dcitr13g0634012;Dcitr00g0877011;Dcitr02g1010011;Dcitr02g1015011;Dcitr00g0366011;Dcitr03g1691011;Dcitr13g0634011;Dcitr02g1483011;Dcitr01g1451011;Dcitr00g0366012;Dcitr13g0537011;Dcitr03g1691012;Dcitr02g1009011
Reactome: R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	2	Dcitr08g0572011;Dcitr08g0569011
Reactome: R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	2	Dcitr08g0315011;Dcitr05g0854011
Reactome: R-HSA-5658442	Regulation of RAS by GAPs	80	Dcitr03g1691011;Dcitr06g0669011;Dcitr04g1203011;Dcitr09g0188011;Dcitr00g1173011;Dcitr00g0877011;Dcitr02g0738011;Dcitr06g0539011;Dcitr02g1444011;Dcitr05g0453011;Dcitr06g1296011;Dcitr09g0184011;Dcitr03g0471011;Dcitr06g1291011;Dcitr04g1412011;Dcitr03g1312011;Dcitr02g1206011;Dcitr02g1455011;Dcitr11g0424011;Dcitr03g1337011;Dcitr03g0908011;Dcitr06g0639011;Dcitr00g0535011;Dcitr09g0968011;Dcitr05g0452011;Dcitr00g1365011;Dcitr01g0474011;Dcitr02g0589011;Dcitr09g0970011;Dcitr04g1223011;Dcitr06g0539013;Dcitr03g1691012;Dcitr04g1433011;Dcitr03g0914011;Dcitr06g0497011;Dcitr06g0638011;Dcitr01g1647011;Dcitr09g0755011;Dcitr04g1378011;Dcitr06g0539012;Dcitr06g0478011;Dcitr00g1450011;Dcitr09g0760011;Dcitr09g0730011;Dcitr05g1471011;Dcitr10g0292012;Dcitr02g1483011;Dcitr06g0379011;Dcitr06g0536011;Dcitr03g1691013;Dcitr03g1689011;Dcitr03g0900011;Dcitr03g0869011;Dcitr05g1464011;Dcitr02g1799011;Dcitr03g0469011;Dcitr06g0382011;Dcitr00g1146011;Dcitr06g0670011;Dcitr03g0872011;Dcitr02g0728011;Dcitr09g0513011;Dcitr02g1801011;Dcitr04g0369011;Dcitr06g0480011;Dcitr00g1531011;Dcitr02g0591011;Dcitr01g1242011;Dcitr02g1456011;Dcitr03g0901011;Dcitr04g0395011;Dcitr01g0481011;Dcitr10g0292011;Dcitr03g0873011;Dcitr00g0826011;Dcitr02g1200011;Dcitr09g0754011;Dcitr10g0294011;Dcitr03g0366011;Dcitr03g1691014
Reactome: R-HSA-2408508	Metabolism of ingested SeMet, Sec, MeSec into H2Se	2	Dcitr00g0692011;Dcitr01g0889011
Reactome: R-HSA-111464	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes	6	Dcitr10g0902011;Dcitr01g1474011;Dcitr06g0496011;Dcitr00g0534011;Dcitr10g0904011;Dcitr06g0495011
Reactome: R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	20	Dcitr09g0270011;Dcitr03g1869011;Dcitr06g0120011;Dcitr02g0238011;Dcitr03g0993011;Dcitr02g0236011;Dcitr11g0306011;Dcitr11g0949011;Dcitr03g1513011;Dcitr01g0531011;Dcitr06g0897011;Dcitr11g0793011;Dcitr05g1353011;Dcitr10g0773011;Dcitr11g0787011;Dcitr07g0746011;Dcitr03g0565011;Dcitr00g0795011;Dcitr09g0265011;Dcitr00g0441011
Reactome: R-HSA-9020958	Interleukin-21 signaling	1	Dcitr03g1633011
